Bundesland	Territorium	Status	Repro	Welpen	Jahr
Sachsen	Muskauer Heide	r	ja	4	2000
Sachsen	Muskauer Heide	r	ja	2	2001
Sachsen	Muskauer Heide	r	ja	3	2002
Sachsen	Neustadt	e	nein	0	2002
Sachsen	Muskauer Heide	r	ja	5	2003
Sachsen	Neustadt	e	nein	0	2003
Sachsen	Muskauer Heide	r	ja	2	2004
Sachsen	Neustadt	p	nein	0	2004
Sachsen	Nochten	p	nein		2004
Sachsen	Daubitz	p	nein		2005
Sachsen	Neustadt	r	ja	5	2005
Sachsen	Nochten	r	ja	5	2005
Brandenburg	Zschorno	e	nein		2006
Sachsen	Daubitz	r	ja	4	2006
Sachsen	Neustadt	r	ja	6	2006
Sachsen	Nochten	r	ja	8	2006
Brandenburg	Zschorno	p	nein		2007
Mecklenburg-Vorpommern	Lübtheen	e	nein		2007
Mecklenburg-Vorpommern	Ueckermünde	e	nein		2007
Sachsen	Dauban	p	nein		2007
Sachsen	Daubitz	r	ja	4	2007
Sachsen	Milkel	p	nein		2007
Sachsen	Neustadt	r	ja	8	2007
Sachsen	Nochten	r	ja	5	2007
Brandenburg	Kyritz-Ruppiner Heide	e	nein		2008
Brandenburg	Welzow	p	nein		2008
Brandenburg	Zschorno	p	nein		2008
Hessen	Reinhardswald	e	nein		2008
Mecklenburg-Vorpommern	Lübtheen	e	nein		2008
Mecklenburg-Vorpommern	Ueckermünde	e	nein		2008
Sachsen	Dauban	r	ja	3	2008
Sachsen	Daubitz	r	ja	2	2008
Sachsen	Neustadt	r	ja	5	2008
Sachsen	Nochten	r	ja	8	2008
Sachsen-Anhalt	Altengrabow	p	nein		2008
Brandenburg	Jüterbog West	p	nein		2009
Brandenburg	Kyritz-Ruppiner Heide	e	nein		2009
Brandenburg	Welzow	r	ja	6	2009
Brandenburg	Zschorno	p	nein		2009
Hessen	Reinhardswald	e	nein		2009
Mecklenburg-Vorpommern	Lübtheen	e	nein		2009
Mecklenburg-Vorpommern	Ueckermünde	e	nein		2009
Sachsen	Dauban	r	ja	3	2009
Sachsen	Daubitz	r	ja	2	2009
Sachsen	Milkel	r	ja	3	2009
Sachsen	Nochten	r	ja	8	2009
Sachsen	Seenland	r	ja	5	2009
Sachsen-Anhalt	Altengrabow	r	ja	5	2009
Bayern	Mangfallgebirge	e	nein		2010
Brandenburg	Jüterbog West	p	nein		2010
Brandenburg	Kyritz-Ruppiner Heide	r	nein		2010
Brandenburg	Lehnin	p	nein		2010
Brandenburg	Lieberose	p	nein		2010
Brandenburg	Welzow	r	ja	6	2010
Brandenburg	Zschorno	p	nein		2010
Hessen	Reinhardswald	e	nein		2010
Mecklenburg-Vorpommern	Lübtheen	e	nein		2010
Mecklenburg-Vorpommern	Ueckermünde	e	nein		2010
Sachsen	Dauban	r	ja	5	2010
Sachsen	Daubitz	r	ja	3	2010
Sachsen	Königsbrücker Heide	p	nein		2010
Sachsen	Milkel	r	ja	5	2010
Sachsen	Niesky	p	nein		2010
Sachsen	Nochten	r	ja	4	2010
Sachsen	Seenland	r	ja	3	2010
Sachsen	Spremberg	p	nein		2010
Sachsen-Anhalt	Altengrabow	r	ja	9	2010
Sachsen-Anhalt	Annaburger Heide	e	nein		2010
Brandenburg	Jüterbog West	r	ja	6	2011
Brandenburg	Kyritz-Ruppiner Heide	e	nein		2011
Brandenburg	Lehnin	r	ja	5	2011
Brandenburg	Lieberose	r	ja	4	2011
Brandenburg	Seese	p	nein		2011
Brandenburg	Sperenberg-Jüterbog	p	nein		2011
Brandenburg	Welzow	r	nein	0	2011
Brandenburg	Zschorno	r	nein	0	2011
Mecklenburg-Vorpommern	Lübtheen	e	nein		2011
Mecklenburg-Vorpommern	Ueckermünde	e	nein		2011
Niedersachsen	Munster	p	nein		2011
Sachsen	Dauban	r	ja	7	2011
Sachsen	Daubitz	r	nein	0	2011
Sachsen	Hohwald	p	nein		2011
Sachsen	Königsbrücker Heide	r	ja	3	2011
Sachsen	Milkel	r	ja	6	2011
Sachsen	Milkel II	p	nein		2011
Sachsen	Niesky	r	ja	4	2011
Sachsen	Nochten	r	ja	4	2011
Sachsen	Seenland	r	ja	5	2011
Sachsen	Spremberg	r	ja	6	2011
Sachsen-Anhalt	Altengrabow	r	ja	7	2011
Sachsen-Anhalt	Annaburger Heide	e	nein		2011
Sachsen-Anhalt	Göritz (Klepzig)	p	nein		2011
Brandenburg	Babben-Wanninchen	p	nein		2012
Brandenburg	Großräschen	p	nein		2012
Brandenburg	Jüterbog West	r	nein	0	2012
Brandenburg	Kyritz-Ruppiner Heide	e	nein		2012
Brandenburg	Lehnin	r	ja	5	2012
Brandenburg	Lieberose	p	nein		2012
Brandenburg	Seese	r	ja	5	2012
Brandenburg	Sperenberg-Jüterbog	r	ja	3	2012
Brandenburg	Teichland	r	nein		2012
Brandenburg	Welzow	r	ja	5	2012
Brandenburg	Zschorno	r	nein	0	2012
Mecklenburg-Vorpommern	Lübtheen	p	nein		2012
Mecklenburg-Vorpommern	Ueckermünde	e	nein		2012
Niedersachsen	Bergen	p	nein		2012
Niedersachsen	Cuxhaven	e	nein		2012
Niedersachsen	Gartow	p	nein		2012
Niedersachsen	Munster	r	ja	3	2012
Sachsen	Dauban	r	ja	6	2012
Sachsen	Daubitz	r	ja	1	2012
Sachsen	Hohwald	r	ja	1	2012
Sachsen	Kollm	p	nein		2012
Sachsen	Königsbrücker Heide	r	ja	3	2012
Sachsen	Milkel	r	ja	4	2012
Sachsen	Milkel II	r	ja	4	2012
Sachsen	Niesky	r	ja	5	2012
Sachsen	Nochten	r	ja	4	2012
Sachsen	Seenland	p	nein		2012
Sachsen	Spremberg	r	ja	5	2012
Sachsen-Anhalt	Altengrabow	r	ja	6	2012
Sachsen-Anhalt	Annaburger Heide	p	nein		2012
Sachsen-Anhalt	Colbitz-Letzlinger Heide	p	nein		2012
Sachsen-Anhalt	Glücksburger Heide	p	nein		2012
Sachsen-Anhalt	Göritz (Klepzig)	r	ja	3	2012
Brandenburg	Babben-Wanninchen	r	ja	1	2013
Brandenburg	Bärenklau	p	nein		2013
Brandenburg	Forst Hohenbucko	r	nein		2013
Brandenburg	Großräschen	r	ja	3	2013
Brandenburg	Hornow	p	nein		2013
Brandenburg	Kyritz-Ruppiner Heide	e	nein		2013
Brandenburg	Lehnin	r	ja	4	2013
Brandenburg	Lieberose	r	ja	4	2013
Brandenburg	Ruhland	p	nein		2013
Brandenburg	Sperenberg-Jüterbog	r	ja	6	2013
Brandenburg	Teichland	r	ja	2	2013
Brandenburg	Zschorno	p	nein		2013
Mecklenburg-Vorpommern	Lübtheen	p	nein		2013
Mecklenburg-Vorpommern	Ueckermünde	p	nein		2013
Niedersachsen	Bergen	r	ja	4	2013
Niedersachsen	Cuxhaven	e	nein		2013
Niedersachsen	Eschede	p	nein		2013
Niedersachsen	Gartow	r	ja	6	2013
Niedersachsen	Munster	r	ja	7	2013
Niedersachsen	Rheinmetall (Uelzen)	p	nein		2013
Sachsen	Dauban	r	ja	3	2013
Sachsen	Daubitz	r	ja	7	2013
