Item	Price	Weight	Category	Date	Origin
Kartoffelsalat	1.19	NA	FP	08/01/2018	NA
Bulgar-Linsen	0.99	NA	FP	08/01/2018	NA
Cereal	1.59	NA	FP	08/01/2018	NA
Milch	0.68	NA	D	08/01/2018	NA
Butterkäse	2.29	NA	D	08/01/2018	NA
Hirtenkase	1.09	NA	D	08/01/2018	NA
Grapefruit	1.79	1.107	OG	08/01/2018	SPN
Kreme	0.95	NA	D	08/01/2018	NA
Bananen (FT)	1.27	0.752	OG	08/01/2018	ECU
Suppe	1.05	NA	FP	08/01/2018	NA
Eier (Bio) 	2.79	NA	D	08/01/2018	NA
Brot	0.99	NA	G	08/01/2018	NA
Brot	1.39	NA	G	08/01/2018	NA
Gurken	0.49	0.441	OG	08/01/2018	SPN
Litschi	0.95	0.526	OG	08/01/2018	MAD
Champignons	0.95	0.250	OG	08/01/2018	NIE
Mango	0.99	0.403	OG	08/01/2018	SPN
Eisbergsalat	0.99	0.520	OG	08/01/2018	SPN
Tomaten	0.88	0.250	OG	08/01/2018	SPN
SC Koriander	0.99	0.020	K	08/01/2018	ITA
Zitrone (Bio)	0.69	0.185	OG	08/01/2018	
Petersilie	0.79	0.040	K	08/01/2018	DEU
Champignons	1.09	0.250	OG	08/01/2018	NIE
Knoblauch	0.89	0.200	OG	08/01/2018	SPN
Brot	1.29	NA	G	09/01/2018	NA
Clementine	1.29	1.000	OG	09/01/2018	SPN
Milch	0.68	NA	D	09/01/2018	NA
Peperoni	0.99	0.050	OG	09/01/2018	SPN
Kürbis	1.90	1.470	OG	09/01/2018	DEU
Ingwer (Bio)	0.53	0.090	OG	09/01/2018	PER
Kokosnussmilch	0.99	NA	FP	09/01/2018	NA
Buttermilch	0.78	NA	D	11/01/2018	NA
Kottlets	3.29	NA	F	11/01/2018	NA
Weizenmehl	0.35	NA	G	11/01/2018	NA
Parmesan	1.85	NA	D	11/01/2018	NA
Schnittlauch	0.79	NA	K	11/01/2018	NA
Hefe	0.18	NA	G	11/01/2018	NA
Avocado	0.88		OG	11/01/2018	CHI
Champignons	2.18	0.250	OG	11/01/2018	NIE
Brot	1.39	NA	G	11/01/2018	NA
Milch	0.69	NA	D	13/01/2018	NA
Eier (Bio)	2.79	NA	D	13/01/2018	NA
Butter	1.59	NA	D	13/01/2018	NA
Schinken	1.79	NA	F	13/01/2018	NA
Tee	0.89	NA	GT	13/01/2018	NA
Vanilla Zucker	0.90	NA	G	13/01/2018	NA
Schokolade	0.99	NA	S	13/01/2018	NA
Bratwurst	2.19	NA	F	13/01/2018	NA
Spaghetti	0.69	NA	FP	13/01/2018	NA
Apfel	2.49	2.000	OG	13/01/2018	DEU
Bananen	0.90	0.786	OG	13/01/2018	ECU
Möhren	0.69	1.000	OG	15/01/2018	DEU
Champignons	0.95	0.250	OG	15/01/2018	DEU
Apfelsaft (Bio)	1.99	NA	GT	15/01/2018	NA
Bambussprossen	0.69	NA	FP	15/01/2018	NA
Poree	0.49	0.270	OG	15/01/2018	DEU
