Item	Price	Weight	Category	Date	Origin
Kartoffelsalat	1.19	NA	FP	08/01/2018	NA
Bulgar-Linsen	0.99	NA	FP	08/01/2018	NA
Cereal	1.59	NA	FP	08/01/2018	NA
Milch	0.68	NA	D	08/01/2018	NA
Butterkäse	2.29	NA	D	08/01/2018	NA
Hirtenkase	1.09	NA	D	08/01/2018	NA
Grapefruit	1.79	1.107	OG	08/01/2018	Spanien
Kreme	0.95	NA	D	08/01/2018	NA
FT Bananen	1.27	0.752	OG	08/01/2018	Ecuador
Suppe	1.05	NA	FP	08/01/2018	NA
BIO Eier	2.79	NA	D	08/01/2018	NA
Brot	0.99	NA	G	08/01/2018	NA
Brot	1.39	NA	G	08/01/2018	NA
Gurken	0.49	0.441	OG	08/01/2018	Spanien
Litschi	0.95	0.526	OG	08/01/2018	Madagascar
Champignons	0.95	0.250	OG	08/01/2018	Niederlande
Mango	0.99	0.403	OG	08/01/2018	Spanien
Eisbergsalat	0.99	0.520	OG	08/01/2018	Spainien
Cherrytomaten	0.88	0.250	OG	08/01/2018	Spainien
SC Koriander	0.99	0.020	K	08/01/2018	Italien
BIO Zitrone	0.69	0.185	OG	08/01/2018	
Petersilie	0.79	0.040	K	08/01/2018	Deutschland
Champignons	1.09	0.250	OG	08/01/2018	Niederlande
Knoblauch	0.89	0.200	OG	08/01/2018	Spanien
Brot	1.29	NA	G	09/01/2018	NA
Clementine	1.29	1.000	OG	09/01/2018	Spanien
Milch	0.68	NA	D	09/01/2018	NA
Peperoni	0.99	0.050	OG	09/01/2018	Spanien
Kürbis	1.90	1.470	OG	09/01/2018	Deutschland
BIO Ingwer	0.53	0.090	OG	09/01/2018	Peru
Kokosnussmilch	0.99	NA	FG	09/01/2018	NA
Buttermilch	0.78	NA	D	11/01/2018	NA
Kottlets	3.29	NA	F	11/01/2018	NA
Weizenmehl	0.35	NA	G	11/01/2018	NA
Parmesan	1.85	NA	D	11/01/2018	NA
SC Schnittlauch	0.79	NA	K	11/01/2018	NA
Hefe	0.18	NA	G	11/01/2018	NA
Avocado	0.88		OG	11/01/2018	Chile
Champignons	2.18	0.250	OG	11/01/2018	Niederlande
Brot	1.39	NA	G	11/01/2018	NA
Milch	0.69	NA	D	13/01/2018	NA
BIO Eier	2.79	NA	D	13/01/2018	NA
Butter	1.59	NA	D	13/01/2018	NA
Schinken	1.79	NA	F	13/01/2018	NA
Tee	0.89	NA	GT	13/01/2018	NA
Vanilla Zucker	0.90	NA	G	13/01/2018	NA
Schokolade	0.99	NA	S	13/01/2018	NA
Bratwurst	2.19	NA	F	13/01/2018	NA
Spaghetti	0.69	NA	P	13/01/2018	NA
Apfel	2.49	2.000	OG	13/01/2018	Deutschland
Bananen	0.90	0.786	OG	13/01/2018	Ecuador
Möhren	0.69	1.000	OG	15/01/2018	Deutschland
Champignons	0.95	0.250	OG	15/01/2018	Deutschland
BIO Apfelsaft	1.99	NA	GT	15/01/2018	
Bambussprossen	0.69	NA	FP	15/01/2018	
Poree	0.49	0.270	OG	15/01/2018	Deutschland
SC Koriander	0.99	0.020	K	15/01/2018	Italien
Sauce Chilli	0.69	NA	SE	15/01/2018	
Zucchini	0.42	0.236	OG	15/01/2018	
Paprika	0.52	0.228	OG	15/01/2018	
Hähnchen	2.79	NA	F	15/01/2018	
Nudeln	0.69	NA	FP	15/01/2018	
