Territorium	Lat	Lon
Altengrabow	52.21	12.19
Dauban	51.27	14.63
Daubitz	51.41	14.83
Göritz (Klepzig)	52.00	12.47
Hohwald	51.04	14.29
Jüterbog West	52.00	13.08
Königsbrücker Heide	51.34	13.87
Lehnin	52.34	12.68
Lieberose	51.98	14.30
Milkel	51.29	14.45
Milkel II	51.35	14.41
Munster	51.96	7.63
Muskauer Heide	51.45	14.71
Neustadt	51.02	14.21
Niesky	51.29	14.83
Nochten	51.43	14.59
Seenland	51.51	14.19
Seese	52.13	13.22
Sperenberg-Jüterbog	52.14	13.37
Spremberg	51.57	14.38
Welzow	51.58	14.17
Annaburger Heide	51.68	13.07
Babben-Wanninchen	51.78	13.77
Bärenklau	52.71	13.14
Bergen	52.81	9.96
Colbitz-Letzlinger Heide	52.31	11.60
Eschede	52.73	10.23
Forst Hohenbucko	51.79	13.55
Gartow	53.02	11.45
Glücksburger Heide	51.88	12.99
Großräschen	51.59	14.00
Hoher Fläming	52.04	12.57
Kollm	51.27	14.73
Laußnitzer Heide	51.22	13.83
Lübtheen	53.30	11.08
Rheinmetall (Uelzen)	52.85	10.29
Rosenthal	50.84	14.06
Ruhland	51.46	13.86
Teichland	51.81	14.42
Ueckermünde	53.73	14.03
