Bundesland	Territorium	Status	Repro	Welpen	Jahr
Sachsen	Muskauer Heide	r	ja	4	2000
Sachsen	Muskauer Heide	r	ja	2	2001
Sachsen	Muskauer Heide	r	ja	3	2002
Sachsen	Neustadt	e	nein	0	2002
Sachsen	Muskauer Heide	r	ja	5	2003
Sachsen	Neustadt	e	nein	0	2003
Sachsen	Muskauer Heide	r	ja	2	2004
Sachsen	Neustadt	p	nein	0	2004
Sachsen	Nochten	p	nein		2004
Sachsen	Daubitz	p	nein		2005
Sachsen	Neustadt	r	ja	5	2005
Sachsen	Nochten	r	ja	5	2005
Brandenburg	Zschorno	e	nein		2006
Sachsen	Daubitz	r	ja	4	2006
Sachsen	Neustadt	r	ja	6	2006
Sachsen	Nochten	r	ja	8	2006
Brandenburg	Zschorno	p	nein		2007
Mecklenburg-Vorpommern	Lübtheen	e	nein		2007
Mecklenburg-Vorpommern	Ueckermünde	e	nein		2007
Sachsen	Dauban	p	nein		2007
Sachsen	Daubitz	r	ja	4	2007
Sachsen	Milkel	p	nein		2007
Sachsen	Neustadt	r	ja	8	2007
Sachsen	Nochten	r	ja	5	2007
Brandenburg	Kyritz-Ruppiner Heide	e	nein		2008
Brandenburg	Welzow	p	nein		2008
Brandenburg	Zschorno	p	nein		2008
Hessen	Reinhardswald	e	nein		2008
Mecklenburg-Vorpommern	Lübtheen	e	nein		2008
Mecklenburg-Vorpommern	Ueckermünde	e	nein		2008
Sachsen	Dauban	r	ja	3	2008
Sachsen	Daubitz	r	ja	2	2008
Sachsen	Neustadt	r	ja	5	2008
Sachsen	Nochten	r	ja	8	2008
Sachsen-Anhalt	Altengrabow	p	nein		2008
Brandenburg	Jüterbog West	p	nein		2009
Brandenburg	Kyritz-Ruppiner Heide	e	nein		2009
Brandenburg	Welzow	r	ja	6	2009
Brandenburg	Zschorno	p	nein		2009
Hessen	Reinhardswald	e	nein		2009
Mecklenburg-Vorpommern	Lübtheen	e	nein		2009
Mecklenburg-Vorpommern	Ueckermünde	e	nein		2009
Sachsen	Dauban	r	ja	3	2009
Sachsen	Daubitz	r	ja	2	2009
Sachsen	Milkel	r	ja	3	2009
Sachsen	Nochten	r	ja	8	2009
Sachsen	Seenland	r	ja	5	2009
Sachsen-Anhalt	Altengrabow	r	ja	5	2009
Bayern	Mangfallgebirge	e	nein		2010
Brandenburg	Jüterbog West	p	nein		2010
Brandenburg	Kyritz-Ruppiner Heide	r	nein		2010
Brandenburg	Lehnin	p	nein		2010
Brandenburg	Lieberose	p	nein		2010
Brandenburg	Welzow	r	ja	6	2010
Brandenburg	Zschorno	p	nein		2010
Hessen	Reinhardswald	e	nein		2010
Mecklenburg-Vorpommern	Lübtheen	e	nein		2010
Mecklenburg-Vorpommern	Ueckermünde	e	nein		2010
Sachsen	Dauban	r	ja	5	2010
Sachsen	Daubitz	r	ja	3	2010
Sachsen	Königsbrücker Heide	p	nein		2010
Sachsen	Milkel	r	ja	5	2010
Sachsen	Niesky	p	nein		2010
Sachsen	Nochten	r	ja	4	2010
Sachsen	Seenland	r	ja	3	2010
Sachsen	Spremberg	p	nein		2010
Sachsen-Anhalt	Altengrabow	r	ja	9	2010
Sachsen-Anhalt	Annaburger Heide	e	nein		2010
